NU_INSCRICAO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;
210054431942;449.5;354.8;356;427.6;460;
210053396683;0;0;0;0;0;
210053811110;416.1;576.3;575.3;623.6;900;
210053586203;492.7;537.1;527.8;549.4;680;
210053996777;605.9;674.3;629.5;690;940;
210053416607;484.5;546.7;442.3;582.4;640;
210051307174;352.3;385.3;456.6;416.5;900;
210053794959;439.2;374.2;399.3;524.6;580;
210051262188;411.4;394;382.8;370.7;680;
210052811994;580.7;596.4;513.2;637;740;
210052895180;557.7;569.1;537.6;590.9;620;
210052301698;0;0;0;0;0;
210051530863;468.9;554.3;505.2;355.9;600;
210052176254;469;489.9;489.3;437.2;780;
210054016592;460.9;397.9;518.1;464.1;680;
210051036867;530.4;333.2;339;511.2;480;
210051795131;0;0;0;0;0;
210053819237;671.3;716.4;626.9;761.2;880;
210052929329;466.5;560.6;527.2;414.1;560;
210052574316;485.1;676.7;599.2;723;900;
210051587707;580.6;600.4;531.2;676.7;880;
210051293646;537;563.7;530.3;557;660;
210052103718;0;401.5;401.1;0;520;
210052092831;680.8;713.2;643.3;815.5;700;
210051460230;488.4;458.4;486.1;480.5;780;
210052581153;0;0;0;0;0;
210051025364;515.7;600.5;591.1;530;900;
210051656237;0;429;454.1;0;0;
210053828062;371.3;513.4;409.5;477.8;0;
210051783568;448.7;477.7;450.2;484.4;600;
210052761945;442.4;545.5;458.8;499.4;900;
210052265894;396.4;337.5;485.1;442.6;780;
210051275486;525.6;523.5;515.7;496.2;820;
210053266858;621;704.5;637.3;837.3;920;
210052578362;412.3;440.4;446.8;430.5;640;
210052855757;710.7;696.2;660.9;772.1;880;
210051467059;0;0;0;0;0;
210054095923;489.3;659.2;576.6;658.9;560;
210051684567;594.4;678.9;634.3;683.3;920;
210051395722;418.5;585.5;557.5;538;800;
210053336006;0;0;0;0;0;
210054424864;718.4;734.6;650.8;840.8;980;
210054055306;432.5;484.5;367.1;495.2;360;
210052659985;631.5;717.6;672.6;757.4;920;
210051038612;0;0;0;0;0;
210051759986;506.2;590.2;538.7;459.9;840;
210054002889;0;0;0;0;0;
210052438811;442.5;631.9;562;439.8;600;
210052197796;554.5;580.3;495.5;736.3;920;
210053561540;0;0;0;0;0;
210053289494;600.2;686.7;681.7;697.4;700;
210052177493;488.8;386.5;409.6;485.2;580;
210051475991;347.2;428.7;326.5;453.3;0;
210051423984;540;556.5;458.2;401;480;
210053265925;514.7;511.8;480.6;408.5;540;
210051111281;474.6;663.9;611.6;621.5;400;
210054016428;456.1;409.3;328.2;429.5;480;
210051530906;0;367.8;422.9;0;640;
210052591227;477.9;596.8;567.2;530.8;920;
210051944677;412.1;453;457.5;509.2;940;
210052680665;662.4;609;557.9;683.2;900;
210052147793;474.4;433.9;467.8;500.4;500;
210052168406;617.4;747.1;675.4;736.3;920;
210051893265;705;714.8;656.5;892.8;820;
210051185387;0;0;0;0;0;
210054044989;0;0;0;0;0;
210051361885;572.7;489.8;560.6;372.8;580;
210052037290;387.1;493.6;524.8;460.4;560;
210052561538;446.9;418.8;525.4;614.5;900;
210054016912;436.7;478.1;453.8;435.7;480;
210053580560;393.9;451.5;521.1;535.8;600;
210052368577;368.1;384.1;351.2;395.8;0;
210052186660;504.8;747.7;623.3;721.6;760;
210051941757;0;481.5;398.9;0;560;
210053360980;455.4;434.7;391.1;539.9;400;
210053769007;397.3;410.3;387.3;394.8;380;
210054234072;530.9;634.3;579.8;708.1;700;
210051227055;538.2;649.9;605.4;666;680;
210052722057;438;379;329.2;473.1;460;
210051764005;496.4;544.2;509.6;621.5;740;
210054295396;359;510.9;377.3;532.6;800;
210051774604;506.9;589.9;505.4;439.4;540;
210051253170;381.6;569.4;529;469.4;600;
210054266910;649.5;696.5;595.6;747.5;960;
210054429309;429.9;375.1;435.4;432.7;680;
210051585136;0;0;0;0;0;
210052176288;436.9;486.9;518;431.4;560;
210052035519;381.9;488.3;367.6;429.8;640;
210051219358;578.5;632.5;595.5;571.1;720;
210053583445;442.7;484.7;452.5;421.6;620;
210053578055;417.9;412.9;472.4;446;640;
210051604474;605.5;699.1;619.7;747.6;880;
210051277931;458.7;402.8;505.5;433.8;640;
210051064254;459.5;556.8;483;542.4;600;
210053738962;454.2;354.4;350.7;464.9;560;
210052017712;415.4;460.4;407.9;568.8;580;
210052210523;587.2;624;631.1;678;960;
210053798357;584;599.3;597.1;545.4;860;
210051411159;0;0;0;0;0;
210051832143;528.4;614.5;541;566.9;720;
210054214917;433.4;459.3;496.3;442.4;600;
210054441456;440.2;526.2;422.9;446.6;720;
210051330443;525.9;610.9;534.5;599.1;680;
210051998105;605.5;663;596.4;732;920;
210052243340;458.5;473.6;494.1;516.9;580;
210051712519;397.4;481.3;434.5;631.4;880;
210052663346;437.1;508.4;415.3;426.4;780;
210053366456;367.1;349.2;491.3;483.3;700;
210053767419;385.4;422.8;447.6;400.2;520;
210051765569;438.6;489.9;503.6;522.7;760;
210052101620;553.4;494.8;585.5;652.8;800;
210051275262;514.3;488.3;486.8;386.2;600;
210051574706;627.7;703.7;647.2;698.2;880;
210051602511;473.5;519.6;545.4;541.5;700;
210052656160;549.6;583.8;593.2;709.1;880;
210051691692;671.3;623.8;547.6;774.9;900;
210052295520;668.4;666.1;584.2;786.2;880;
210051842492;468.4;447.4;464.5;437.2;540;
210051569624;465.8;371.1;433.4;464.2;760;
210053298320;449.8;381.5;375.7;474.7;520;
210052372441;453.2;656.8;562.2;502.3;760;
210054263907;491.3;403.3;325.6;364.5;560;
210054448813;534.9;577.3;556;666.4;860;
210054424714;406.7;400.8;491;556.9;340;
210051420583;0;0;0;0;0;
210054289850;540.7;581.3;589.3;686.1;880;
210051281012;453;399.2;393.4;436.6;640;
210053372364;553.5;629.1;568;487.7;840;
210053586948;511.6;632.7;459.4;704.4;680;
210051395471;634.4;675.8;670.1;560.7;940;
210051228034;471.1;399.5;410.9;485.3;520;
210052861909;604.9;674.3;650;720.7;980;
210052057537;445.7;603.2;584.4;588.6;420;
210051100896;481.1;594.1;542.2;590.1;540;
210051029757;545.2;490;484.1;644;860;
210051711993;438;510.1;420.6;417.3;460;
210052618060;482.6;520;482.1;521.4;0;
210053428450;0;0;0;0;0;
210052376626;391.9;383.8;464.2;425.1;600;
210053296011;682.9;654.1;605;489.8;800;
210051490134;459.3;478.2;541.6;487.1;840;
210053581522;486.4;372.2;473.1;464.7;620;
210052624802;577.9;604.6;550.9;530.6;600;
210054008105;441.7;394.7;433;491.1;500;
210052279114;592;632.6;618.9;614.5;820;
210053227714;0;0;0;0;0;
210053817675;451.4;627;588.5;622.8;780;
210052666650;463.1;463.7;452.8;615.6;660;
210053324308;471.1;620.8;556.4;521.8;540;
210052776552;387.7;0;0;422.9;0;
210054091617;537.9;613.3;622.5;469.5;660;
210054448857;548.8;594.7;527.2;495.9;480;
210054069002;538.2;492.7;449.7;528.9;620;
210052103830;0;0;341.6;0;0;
210052975034;452.3;432.5;499.2;424.6;400;
210052969906;441.4;588.8;502.7;585.3;0;
210052237000;0;0;0;0;0;
210051639108;454.5;387.9;376.8;476.2;540;
210052023454;390.1;535.9;543.9;442.3;480;
210054447719;499.7;452.7;424.3;431.1;760;
210051829454;690.4;698;652.2;809.5;980;
210051389123;0;0;0;0;0;
210052456420;0;0;0;0;0;
210053352352;577.6;454.7;483.8;668.3;860;
210053887311;576.1;620.6;554.5;516.1;680;
210054003870;552.1;653.8;602;631.8;920;
210051784300;384.7;401.2;434.8;431.1;520;
210051812152;398;546.7;506;612.3;920;
210052393040;559.5;665.6;550.1;637.4;860;
210053422283;657.6;734.2;633.7;753.2;920;
210053052860;454.1;639;476.7;689;980;
210054438929;637.6;665.1;682.3;691.8;920;
210054197146;687;701.9;627.3;825.9;940;
210053459264;499.4;508.7;530.9;609.2;740;
210054209497;655.1;718.8;614.1;840.8;960;
210051886910;742.1;739.2;722.4;872.4;940;
210053580404;0;0;0;0;0;
210054443743;575;596.9;545.5;678.1;880;
210051240420;349.4;362.1;344.5;544.3;440;
210053370344;437.8;452;385.2;456.4;420;
210052972628;397.7;483.4;443.6;468;600;
210053703217;0;0;0;0;0;
210054171638;606;666.6;650;688.5;940;
210052746052;540.4;601.4;549.5;593;840;
210053057784;462.8;551.5;539.7;580.6;640;
210051719317;460.2;476;393.6;414.1;540;
210053584046;401.6;359.6;348.1;382.7;0;
210053384353;453.4;480.4;462.4;500.3;880;
210054281012;349.3;451.4;338.4;396.3;360;
210051989940;484.2;562.6;418.8;366.8;360;
210053839498;455.9;353.1;392;409.5;520;
210054159047;400.2;576.7;520.9;416.5;640;
210052592508;535.3;560.9;515.7;382.5;800;
210053585617;503.2;569.9;544.7;426.2;540;
210052772907;487.9;499.9;509;494.9;760;
210051411906;453.7;416.3;427.3;400.5;820;
210052454304;0;0;0;0;0;
210051770275;630.8;723.2;681.1;488.2;860;
210051700011;468.5;432.7;421.2;402;0;
210051622455;427.6;542.1;506.8;448.8;440;
210053867055;557.9;609.1;557.9;648.5;720;
210054228860;597.9;555.7;568.5;696.6;900;
210054447630;457.5;381.6;359.8;609.2;740;
210052320019;371.4;434.1;496.7;372;720;
210054433130;625.3;653.8;631.3;661.3;900;
210053812968;677.4;769.5;630.1;794.9;880;
210053774553;490.5;476.3;494.8;488.5;780;
210051632745;468.9;437;422.6;409.5;520;
210053997719;0;0;0;0;0;
210051034605;465.1;516.3;442.2;575.8;780;
210051328319;350.9;407.6;319;448.3;520;
210053569081;598.2;688.4;648.6;790.9;900;
210054007869;0;0;0;0;0;
210052535484;527.1;662.7;515.4;469.9;400;
210052112487;451;542;528.5;483.5;640;
210053686527;475.8;498.7;483.3;376.7;440;
210051615047;0;0;0;0;0;
210052948134;0;0;0;0;0;
210054444920;672.3;651.6;598.2;694.1;940;
210051866220;414.4;502.5;493.2;394.4;480;
210053584523;495;591.1;550.1;562.2;720;
210051492477;0;0;0;0;0;
210051842190;632.2;598.4;574.2;664.2;920;
210051769703;596;642.7;582.3;782.9;920;
210051185269;572.5;625.2;615.3;581.5;860;
210052084036;424.7;611.8;514.4;565.1;600;
210051402466;489.9;525.1;506.1;399.6;560;
210053042066;413.2;505.1;444.7;525.2;860;
210053008077;429.2;473.1;402.1;440.3;600;
210054016287;581;542.6;532.5;697.7;820;
210054016260;422.8;489;498.8;577.3;620;
210054011026;429.4;471.8;398.3;415.4;600;
210053338312;664.2;678.5;615.4;734.1;820;
210054226286;0;0;0;0;0;
210053003313;666.6;728.1;707.7;801.1;960;
210053609182;596.1;620.3;564.9;688.4;960;
210051454646;453.6;593.1;573.2;436.8;840;
210051502477;670.1;677.9;654.2;770.9;960;
210053396028;0;0;0;0;0;
210052922130;479.7;393.4;373.3;568.9;760;
210051859467;469.6;380.1;397.5;465.5;340;
210052140429;467.7;490.5;451.5;385.7;620;
210054450780;387.7;0;298;385.3;0;
210053101685;374.1;565.3;470.9;390.4;600;
210053634886;439;498.3;485.2;594.7;640;
210052153542;437.9;520.9;489.8;465.3;860;
210052879644;637.2;726.8;508.3;772.6;900;
210054444381;379.4;373.2;499.7;479;880;
210052765543;489.2;410.5;419.3;429;680;
210052003604;553.7;650.3;615.3;564;860;
210053584816;643.2;575.7;612;692.9;940;
210054262942;749.4;746.5;635.3;930.4;940;
210053584438;556.2;550.6;505.2;549.5;820;
210054302327;548.3;471.5;453.4;386.2;780;
210052721249;561.8;597.2;568.1;569.6;760;
210053162259;0;0;0;0;0;
210054446973;487.1;515.6;505.4;504.3;920;
210051152300;433.7;551.1;466.1;404;580;
210052963400;458.2;388.9;458.2;392.1;620;
210051481355;0;0;0;0;0;
210052749539;423.5;472.3;458.2;523.2;560;
210051886718;0;349;493.1;0;480;
210053120427;720.6;708.1;650.9;904.1;920;
210052986647;688.6;765.2;584.2;785.2;920;
210053719141;0;0;0;0;0;
210054235414;612.4;705.8;669.1;795;940;
210052463551;491.4;451.2;505.8;587.7;860;
210052817236;0;424.8;471.3;0;0;
210053571769;414.1;375.8;389.2;370;460;
210052090695;463.7;488.5;505.7;577.8;680;
210054429377;0;0;0;0;0;
210051906983;0;0;0;0;0;
210053380168;0;0;0;0;0;
210051952269;557.7;579.4;568.6;628.9;780;
210053570773;513.9;430.5;551;549;760;
210051020748;412.8;542.1;501.4;500.9;620;
210053570486;629;644.8;569.2;704;900;
210053383683;740.7;751.3;721.4;816.4;960;
210052693179;487.8;595.5;532.4;629.2;880;
210053815573;471;574.9;434.1;623;820;
210052774800;621.3;688.9;620.3;660.3;780;
210051832376;448.3;455.4;481.7;642.6;900;
210052124982;403.6;439;505.9;394.4;620;
210053870825;439.3;529.9;406.9;363;240;
210051844816;609.1;743.8;609.2;741.4;940;
210051712571;347.1;383.4;383.7;431.2;280;
210052930679;0;0;0;0;0;
210053579461;0;0;0;0;0;
210053700260;544.7;581.8;454.1;568;700;
210053382613;540.5;595.4;524.7;478.8;0;
210052311534;579.5;611.7;537;738;580;
210054000762;464.9;485.8;489.8;460.9;500;
210053800828;567.9;631.2;602.5;684.3;640;
210052221531;423;494.5;384.5;514.1;480;
210051211219;439;551.4;522.6;435.2;540;
210051808261;646.7;637.3;609.2;744.6;820;
210052821558;560.9;495.4;582.7;653.3;620;
210052163259;481.4;540.2;477.5;447.1;600;
210051235987;0;0;0;0;0;
210052041958;425.1;529.7;432.8;501.7;680;
210053441829;0;0;0;0;0;
210051454288;442.3;461;463.6;500.8;660;
210053108318;631.9;617;617.8;654.1;760;
210054439497;420.9;499.4;492.2;444;580;
210052783425;422.4;452;426.6;418.3;620;
210051916527;394.3;443.7;386.5;454.9;500;
210051165785;479.1;401.7;431.5;413.1;0;
210054248412;651.6;685.2;547.3;691;960;
210051831552;591.2;609.1;585.2;607;840;
210051799698;547.1;571.1;540.7;651.9;920;
210054447443;492.5;579.1;451.5;609.3;640;
210052020975;430.2;491.2;427.3;451.7;820;
210052658499;651.4;714.7;655.8;766.8;940;
210053384842;681.8;738.8;684.7;804.1;960;
210051259331;391.8;526.4;480.6;466.5;460;
210054015253;529.4;674.3;641.4;703;820;
210052994760;380.4;426.2;521.1;429.3;560;
210054214159;538;586.7;487.1;486.6;560;
210052182741;0;0;0;0;0;
210052528918;546.6;647.6;582.7;431.8;600;
210051425860;549.2;621.2;624.3;539.9;880;
210051553497;506.3;512.4;471.3;507.8;580;
210051912944;439.7;579.6;530.7;614.9;900;
210053090714;733;769.2;701.6;886.3;900;
210053707130;560.1;653.4;660.4;650.1;920;
210052836873;642.4;681.2;584.4;721.8;800;
210053699977;0;367.4;396.3;0;0;
210053837086;412.4;359.6;494;423;700;
210052704975;515.4;586.1;525.8;546.7;640;
210053257616;0;0;0;0;0;
210051589089;485.2;504.9;497.6;497.9;800;
210054292394;381.2;504.7;501.1;425.3;780;
210052106492;0;0;0;0;0;
210053201970;537.8;624.1;600.2;493.5;500;
210054074501;426.3;493.6;418.9;379.2;540;
210052806347;0;463.5;368.9;0;420;
210052835815;443.7;598;598.9;576;640;
210053475837;460;503.5;405.8;400.7;500;
210053175944;672.3;712.9;634.7;756.8;920;
210053584084;413;436.2;417.5;452;0;
210054030478;0;0;0;0;0;
210052168535;0;0;0;0;0;
210051617102;0;0;0;0;0;
210052118564;486.5;496.7;405.3;443.9;640;
210051681505;602.6;615;568.1;792.3;960;
210053895075;462.8;522.4;447.9;495.2;500;
210051678978;681.6;756.5;634.3;745.3;880;
210054012491;395.8;508.6;448.3;386.5;600;
210051982365;482.6;433;438.2;461.1;880;
210053585623;552.5;568.4;487.6;442.8;900;
210052401744;509.1;501.7;539.9;552.3;780;
210054120340;619.9;704.6;643.2;677.8;640;
210051869254;471.6;564.1;561.1;542.2;980;
210051188387;423.6;411.1;371;398.1;400;
210052008637;596.3;592.3;547;599.7;640;
210051732516;474.9;391.5;434.9;404.5;600;
210053426395;421.3;585.7;548.6;589.8;760;
210052131194;541.9;632.4;579.2;527.6;540;
210052050936;472.4;375.7;484.4;449.2;640;
210051984720;612.6;662.2;533.5;793.1;840;
210052888008;464.2;495.8;492.3;482.8;760;
210052038506;604.6;673.7;575.7;674.6;780;
210053995241;0;0;0;0;0;
210054278334;513;619.5;552.5;639;800;
210053585656;521.2;557.5;456.7;395.6;640;
210054440194;483;517.1;492.2;656.1;780;
210051998846;472.3;582.7;488.9;586.3;740;
210053828687;0;518.2;482.6;0;540;
210053573035;411.3;564.9;402.3;508.8;440;
210053997667;0;550.8;461.5;0;520;
210052923451;473.9;521.6;480.6;420.1;800;
210051763737;473.5;568.4;524.8;533.3;800;
210053935571;514.4;639.7;564;619;580;
210052630976;503.2;568.9;484.1;483.8;540;
210051256147;438.8;435.9;530.8;498.6;320;
210052335911;0;0;0;0;0;
210054440571;597.3;594.4;545.9;756.6;880;
210051169252;0;0;0;0;0;
210053776865;645.6;693.8;678.8;738.5;940;
210054013562;372.3;431.9;428.2;391.8;480;
210054087066;0;0;0;0;0;
210053579973;589.9;615.1;531.1;643.7;900;
210051936238;436.7;343.7;527.7;495;0;
210051184057;530.7;649;557.7;619.3;640;
210052041395;0;0;0;0;0;
210054006451;468.2;560.7;508.2;405.5;560;
210054436970;349.8;505.9;483.7;515.1;660;
210052754895;401.6;522.4;454;429.4;800;
210052600796;512.7;557.5;567.3;520.3;880;
210051601261;427.4;345.3;370.3;410.1;480;
210053994314;350.7;439.5;496.8;501.5;660;
210051856102;0;0;0;0;0;
210053323106;539.2;676;630.5;686.7;620;
210052993448;441.7;453.3;392.7;588.7;560;
210053866278;429.2;435.6;491.7;533.7;640;
210054197958;0;0;0;0;0;
210052649519;636.8;640.3;608.9;711.7;900;
210052342683;634.2;723.8;648.3;828.1;760;
210052904999;342.4;405.7;361.8;432;420;
210051689482;515.5;516.7;483.3;419.9;560;
210051449093;0;425.8;483.2;0;620;
210053903032;0;0;0;0;0;
210051968148;458.8;411.3;477.2;439.6;320;
210053433203;504.2;554.5;516;625.4;680;
210052005467;676;626.6;543.1;669.7;980;
210051985168;0;0;0;0;0;
210051149427;0;0;0;0;0;
210052944354;508.3;464.7;444;490.9;720;
210051019516;488.6;467.1;443.6;466.6;600;
210052633357;447.3;384.7;464.6;409.9;560;
210052162396;414.6;598.5;440.1;472.5;960;
210053992616;680.7;579.3;573.8;807.8;940;
210052785144;583.9;668;583;754.5;720;
210053840063;610.2;528.9;550;694.2;740;
210054004796;521.2;573.4;566.8;615.1;560;
210052571486;389.3;380.8;330.2;426.1;460;
210051451825;469.4;534.2;544.2;610.3;780;
210051931946;631.6;634.5;566.5;628.1;920;
210051639585;444.7;588.6;497;429.3;860;
210051414977;449.5;487.9;487.8;415.3;640;
210054432536;0;0;0;0;0;
210051705543;528.5;639.4;538.3;626.4;620;
210052936981;486.7;604.7;564.5;564.2;740;
210052155168;0;0;0;0;0;
210052919927;447.5;372.2;391.2;513;0;
210052470414;448.2;443.6;478.3;498.6;600;
210053101117;686.6;633.6;580;755.8;960;
210053366868;493.6;479.7;550.5;557.1;620;
210054433426;674.6;732.3;678.2;819;840;
210053575895;535.7;582.5;537.2;606.7;880;
210052124956;600;695.9;602;699.6;720;
210053574051;354.9;354.8;459;405.7;460;
210052264774;465.6;392;361.4;490.8;560;
210051610082;457.7;401.4;391.4;494.7;520;
210052398069;520.1;600.1;564.5;551.8;840;
210051906805;426.5;485.7;386.1;414.9;0;
210054302878;569.2;550.6;510.3;613.7;860;
210051894544;474.3;369.5;479.3;579.8;660;
210052493941;503.7;595.6;536.3;689.8;780;
210053312086;634.1;663.3;638.7;747.5;900;
210052525663;435.4;521.1;461.5;466.6;760;
210053682021;429.1;438.4;379.4;397.6;700;
210051769699;639.8;650.8;638.4;715.5;880;
210052313625;475.1;591.7;565.3;465.9;880;
210053749060;544.2;612.3;611.9;692.9;900;
210051181457;0;0;0;0;0;
